date,title,pdf_filename,url
19/06/2025,Informe N° 02-2025-CF – Opinión del Consejo Fiscal sobre la situación de las finanzas públicas subnacionales,Informe_N_02-2025-CF.pdf,https://cf.gob.pe/documentos/informe-n-02-2025-cf-opinion-del-consejo-fiscal-sobre-la-situacion-de-las-finanzas-publicas-subnacionales/
15/05/2025,Informe N° 01-2025-CF – Opinión del Consejo Fiscal sobre el Informe de Actualización de Proyecciones Macroeconómicas 2025-2028,Informe_N_01-2025-CF.pdf,https://cf.gob.pe/documentos/informe-n-01-2025-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2025-2028/
23/08/2024,Informe N° 05-2024-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico  Multianual 2025-2028,Informe_N_05-2024-CF.pdf,https://cf.gob.pe/documentos/informe-n-05-2024-cf-opinion-del-consejo-fiscal-sobre-el-proyecto-de-marco-macroeconomico-multianual-2025-2028/
24/07/2024,Informe N° 04-2024-CF – Opinión del Consejo Fiscal acerca de la modificación de las reglas fiscales  dispuesta por el Decreto Legislativo N° 1621,Informe_N_04-2024-CF.pdf,https://cf.gob.pe/documentos/opinion-del-consejo-fiscal-acerca-de-la-modificacion-de-las-reglas-fiscales-dispuesta-por-el-decreto-legislativo-n-1621/
05/07/2024,Informe N° 03-2024-CF – Opinión del Consejo Fiscal acerca de la evolución de las finanzas públicas y del  cumplimiento de las reglas macrofiscales durante el ejercicio fiscal 2023,Informe_N_03-2024-CF.pdf,https://cf.gob.pe/documentos/informe-n-03-2024-cf-opinion-del-consejo-fiscal-acerca-de-la-evolucion-de-las-finanzas-publicas-y-del-cumplimiento-de-las-reglas-macrofiscales-durante-el-ejercicio-fiscal-2023/
05/07/2024,Informe N° 02-2024-CF – Opinión del Consejo Fiscal acerca de la evolución de las finanzas públicas y del  cumplimiento de las reglas fiscales subnacionales en 2023,Informe_N_02-2024-CF.pdf,https://cf.gob.pe/documentos/informe-n-02-2024-cf-opinion-del-consejo-fiscal-acerca-de-la-evolucion-de-las-finanzas-publicas-y-del-cumplimiento-de-las-reglas-fiscales-subnacionales-en-2023/
16/05/2024,Informe N° 01-2024-CF. Opinión del Consejo Fiscal sobre el Informe de Actualización de Proyecciones Macroeconómicas 2024-2027,Informe_N_01-2024-CF.pdf,https://cf.gob.pe/documentos/informe-n-01-2024-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2024-2027/
30/08/2023,Informe N° 03-2023-CF Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2024-2027,Informe_N_03-2023-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-03-2023-cf-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2024-2027/
30/06/2023,Informe N° 02-2023-CF Opinión del Consejo Fiscal acerca de la evolución de las finanzas públicas y del cumplimiento de las reglas fiscales durante el ejercicio fiscal 2022,Informe_N_02-2023-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-02-2023-cf-opinion-del-consejo-fiscal-acerca-de-la-evolucion-de-las-finanzas-publicas-y-del-cumplimiento-de-las-reglas-fiscales-durante-el-ejercicio-fiscal-2022/
16/05/2023,Informe N° 01-2023-CF.  Opinión del Consejo Fiscal sobre el Informe de Actualización de Proyecciones Macroeconómicas 2023-2026,Informe_N_01-2023-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-01-2023-cf/
29/08/2022,Informe N° 04-2022-CF.  Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2023-2026,Informe_N_04-2022-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-04-2022-cf-opinion-del-consejo-fiscal-sobre-el-proyecto-de-marco-macroeconomico-multianual-2023-2026/
15/07/2022,Informe N° 03-2022-CF Opinión del Consejo Fiscal acerca de la evolución de las finanzas públicas y del cumplimiento de las reglas fiscales durante el ejercicio fiscal 2021,Informe_N_03-2022-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-03-2022-cf-opinion-del-consejo-fiscal-acerca-de-la-evolucion-de-las-finanzas-publicas-y-del-cumplimiento-de-las-reglas-fiscales-durante-el-ejercicio-fiscal-2021/
16/05/2022,Informe N° 02-2022-CF Opinión del Consejo Fiscal sobre el Informe de Actualización de  Proyecciones Macroeconómicas 2022-2025,Informe_N_02-2022-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-02-2022-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2022-2025/
26/04/2022,Informe N° 01-2022-CF Opinión del Consejo Fiscal sobre el proyecto de ley que establece las reglas fiscales de  resultado económico y de deuda pública del Sector Público No Financiero a partir de 2023,Informe_N_01-2022-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-01-2022-cf-opinion-del-consejo-fiscal-sobre-el-proyecto-de-ley-que-establece-las-reglas-fiscales-de-resultado-economico-y-de-deuda-publica-del-sector-publico-no-financiero-a-partir-de/
20/12/2021,Informe N° 06-2021-CF Opinión del Consejo Fiscal sobre la situación de las finanzas subnacionales durante la  pandemia de la COVID-19,Informe_N_06-2021-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-06-2021-cf-opinion-del-consejo-fiscal-sobre-la-situacion-de-las-finanzas-subnacionales-durante-la-pandemia-de-la-covid-19/
27/08/2021,Informe N° 05-2021-CF Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico  Multianual 2022-2025,Informe_N_05-2021-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-05-2021-cf-opinion-del-consejo-fiscal-sobre-el-proyecto-de-marco-macroeconomico-multianual-2022-2025/
18/08/2021,Informe N° 04-2021-CF Opinión del Consejo Fiscal sobre el Decreto de Urgencia que establece las reglas macrofiscales para el Sector Público No Financiero para el año fiscal 2022,Informe_N_04-2021-CF.pdf,https://cf.gob.pe/documentos/informe-n-04-2021-cf-opinion-del-consejo-fiscal-sobre-el-decreto-de-urgencia-que-establece-las-reglas-macrofiscales-para-el-sector-publico-no-financiero-para-el-ano-fiscal-2022/
15/07/2021,Informe N° 03-2021-CF Opinión del Consejo Fiscal acerca de la Declaración sobre el Cumplimiento  de la Responsabilidad Fiscal 2020,Informe_N_03-2021-CF.pdf,https://cf.gob.pe/documentos/informe-n-03-2021-cf-opinion-del-consejo-fiscal-acerca-de-la-declaracion-sobre-el-cumplimiento-de-la-responsabilidad-fiscal-2020/
19/05/2021,Informe N° 02-2021-CF  – Opinión del Consejo Fiscal sobre el Informe de Actualización de  Proyecciones Macroeconómicas 2021-2024,Informe_N_02-2021-CF.pdf,https://cf.gob.pe/documentos/informe-n-02-2021-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2021-2024/
01/03/2021,Informe N° 01-2021-CF Opinión del Consejo Fiscal sobre el Informe Preelectoral de la administración 2016-2021,Informe_N_01-2021-CF.pdf,https://cf.gob.pe/documentos/informe-n-01-2021-cf-opinion-del-consejo-fiscal-sobre-el-informe-preelectoral-de-la-administracion-2016-2021/
16/09/2020,Informe 008-CF-2020 Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2021-2024,Informe_N_008-2020.pdf,https://cf.gob.pe/documentos/informes/informe-008-cf-2020-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2021-2024/
28/08/2020,Informe 007-2020-CF Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2021-2024,Informe_N_007-2020-CF.pdf,https://cf.gob.pe/documentos/informe-007-2020-cf-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2021-2024/
30/06/2020,Informe N° 006-2020-CF Opinión del Consejo Fiscal acerca del cumplimiento de las reglas fiscales aplicables a los gobiernos regionales y locales en 2019,Informe_N_006-2020-CF.pdf,https://cf.gob.pe/documentos/informe-n-006-2020-cf-opinion-del-consejo-fiscal-acerca-del-cumplimiento-de-las-reglas-fiscales-aplicables-a-los-gobiernos-regionales-y-locales-en-2019/
12/06/2020,Informe N° 005-2020-CF Opinión del Consejo Fiscal acerca del cumplimiento de las reglas fiscales vigentes en 2019,Informe_N_005-2020-CF.pdf,https://cf.gob.pe/documentos/informe-n-005-2020-cf-opinion-del-consejo-fiscal-acerca-del-cumplimiento-de-las-reglas-fiscales-vigentes-en-2019/
08/06/2020,Informe N° 004-2020-CF Análisis de escenarios macroeconómicos y sus efectos en las cuentas fiscales ante el COVID-19,Informe_N_004-2020-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-004-2020-cf-analisis-de-escenarios-macroeconomicos-y-sus-efectos-en-las-cuentas-fiscales-ante-el-covid-19/
14/04/2020,Informe N° 003-2020-CF Opinión del Consejo Fiscal sobre el Decreto Legislativo que aprueba la suspensión temporal y excepcional de las reglas fiscales para el Sector Público No Financiero para los años fiscales 2020 y 2021 y establece otras disposiciones,Informe_N_003-2020-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-003-2020-cf-opinion-del-consejo-fiscal-sobre-el-decreto-legislativo-que-aprueba-la-suspension-temporal-y-excepcional-de-las-reglas-fiscales-para-el-sector-publico-no-financiero-para/
23/01/2020,Informe N° 002-2020-CF Opinión del Consejo Fiscal sobre el Decreto de Urgencia No 031-2019,Informe_N_002-2020-CF.pdf,https://cf.gob.pe/documentos/informe-n-002-2020-cf-opinion-del-consejo-fiscal-sobre-el-decreto-de-urgencia-no-031-2019/
16/01/2020,Informe N° 001-2020-CF Opinión del Consejo Fiscal sobre el Decreto de Urgencia Nº 032-2019,Informe_N_001-2020-CF.pdf,https://cf.gob.pe/documentos/informe-n-001-2020-cf-opinion-del-consejo-fiscal-sobre-el-decreto-de-urgencia-no-032-2019/
26/08/2019,Informe N°004-2019-CF Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2020-2023,Informe_N_004-2019-CF.pdf,https://cf.gob.pe/documentos/informe-n004-2019-cf-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2020-2023/
06/06/2019,Informe N°003-2019-CF Opinión del Consejo Fiscal acerca del cumplimiento de las reglas fiscales vigentes en 2018,Informe_N_003-2019-CF.pdf,https://cf.gob.pe/documentos/informe-n003-2019-cf-opinion-del-consejo-fiscal-acerca-del-cumplimiento-de-las-reglas-fiscales-vigentes-en-2018/
21/05/2019,Informe N°002-2019-CF Opinión del Consejo Fiscal sobre el Informe de Actualización de Proyecciones Macroeconómicas 2019-2022,Informe_N_002-2019-CF.pdf,https://cf.gob.pe/documentos/informe-n002-2019-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2019-2022/
26/04/2019,Informe N° 001-2019-CF Informe anual del Consejo Fiscal 2018 “Riesgos fiscales en la economía peruana”,Informe_N_001-2019-CF.pdf,https://cf.gob.pe/documentos/informe-n-001-2019-cf-informe-anual-del-consejo-fiscal-2018-riesgos/
24/08/2018,Informe N° 005-2018-CF  Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2019-2022,Informe_N_005-2018-CF.pdf,https://cf.gob.pe/documentos/informes/informe-n-005-2018-cf-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2019-2022/
12/07/2018,Informe N° 004-2018-CF Opinión del Consejo Fiscal acerca del cumplimiento de las reglas fiscales vigentes en 2017,Informe_N_004-2018-CF.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-004-2018-opinion-del-consejo-fiscal-acerca-del-cumplimiento-de-las-reglas-fiscales-vigentes-en-2017/
24/05/2018,Informe CF N°003-2018 – Opinión del Consejo Fiscal sobre el Informe de Actualización de  Proyecciones Macroeconómicas 2018-2021,Informe_N_003-2018.pdf,https://cf.gob.pe/documentos/informe-n003-2018-cf-opinion-del-consejo-fiscal-sobre-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2018-2021/
25/04/2018,Informe CF N° 002-2018 – Las finanzas públicas en el Perú: efectividad y sostenibilidad Informe anual 2017,Informe_N_002-2018.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-001-2018-las-finanzas-publicas-en-el-peru-efectividad-y-sostenibilidad-informe-anual-2017/
24/01/2018,Informe CF N° 001-2018 – Opinión del Consejo Fiscal acerca de la situación de las finanzas públicas al 2017,Informe_N_001-2018.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-001-2018-opinion-del-consejo-fiscal-acerca-de-la-situacion-de-las-finanzas-publicas-al-2017/
22/08/2017,Informe CF N° 004-2017 – Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2018-2021,Informe_N_004-2017.pdf,https://cf.gob.pe/documentos/informes/informe-n-004-2017-cf-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2018-2021/
21/06/2017,Informe CF N° 003-2017 – Opinión del Consejo Fiscal acerca de la Declaración sobre Cumplimiento de Responsabilidad Fiscal 2016,Informe_N_003-2017.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-003-2017-opinion-del-consejo-fiscal-acerca-de-la-declaracion-sobre-cumplimiento-de-responsabilidad-fiscal-2016/
09/05/2017,Informe CF N° 002-2017 – Opinión del Consejo Fiscal sobre las proyecciones contenidas en el Informe de Actualización de Proyecciones Macroeconómicas 2017 del Ministerio de Economía y Finanzas,Informe_N_002-2017.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-002-2017-opinion-del-consejo-fiscal-sobre-las-proyecciones-contenidas-en-el-informe-de-actualizacion-de-proyecciones-macroeconomicas-2017-del-ministerio-de-economia-y-finanzas/
03/05/2017,Informe CF N° 001-2017 – Opinión del Consejo Fiscal sobre el Proyecto de Ley que dispone la aplicación de la cláusula de excepción a las reglas macrofiscales del Sector Público No Financiero,Informe_N_001-2017.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-001-2017-opinion-del-consejo-fiscal-sobre-el-proyecto-de-ley-que-dispone-la-aplicacion-de-la-clausula-de-excepcion-a-las-reglas-macrofiscales-del-sector-publico-no-financiero/
26/12/2016,Informe CF N° 008-2016 – Opinión del Consejo Fiscal sobre el nuevo Marco de Responsabidad y Transparencia Fiscal,Informe_N_008-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-008-2016-opinion-del-consejo-fiscal-sobre-el-nuevo-marco-de-responsabidad-y-transparencia-fiscal/
04/10/2016,Informe CF N° 007-2016 – Opinión del Consejo Fiscal sobre el Proyecto de declaración de política Macro Fiscal,Informe_N_007-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-007-2016-opinion-del-consejo-fiscal-sobre-el-proyecto-de-declaracion-de-politica-macro-fiscal/
26/08/2016,Informe CF N° 006-2016 – Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2017-2019 Revisado,Informe_N_006-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-006-2016-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2017-2019-revisado/
18/08/2016,Informe CF N° 004-2016 – Opinión del Consejo Fiscal acerca de la Situación de las Finanzas Públicas,Informe_N_004-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-004-2016-opinion-del-consejo-fiscal-acerca-de-la-situacion-de-las-finanzas-publicas/
18/08/2016,"Informe CF N° 005-2016 – Opinión del Consejo Fiscal sobre el Proyecto de Ley N° 08-2016-PE “Ley que establece medidas en el marco de la Ley N° 30099, Ley de Fortalecimiento de la Responsabilidad y Transparencia Fiscal”",Informe_N_005-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-005-2016-opinion-del-consejo-fiscal-sobre-el-proyecto-de-ley-n-08-2016-pe-ley-que-establece-medidas-en-el-marco-de-la-ley-n-30099-ley-de-fortalecimiento-de-la-respo/
23/06/2016,Informe CF N° 003-2016 – Opinión del Consejo Fiscal acerca de la Declaración sobre Cumplimiento de Responsabilidad Fiscal al 31 de diciembre de 2015,Informe_N_003-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-003-2016-opinion-del-consejo-fiscal-acerca-de-la-declaracion-sobre-cumplimiento-de-responsabilidad-fiscal-al-31-de-diciembre-de-2015/
15/04/2016,Informe CF N° 002-2016 – Opinión del Consejo Fiscal sobre el Marco Macroeconómico Multianual 2017-2019,Informe_N_002-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-002-2016-opinion-del-consejo-fiscal-sobre-el-marco-macroeconomico-multianual-2017-2019/
28/01/2016,Informe CF N° 001-2016 – Opinión del Consejo Fiscal sobre la nueva metodología de cálculo de las cuentas estructurales,Informe_N_001-2016.pdf,https://cf.gob.pe/documentos/informes/informe-cf-n-001-2016-opinion-del-consejo-fiscal-sobre-la-nueva-metodologia-de-calculo-de-las-cuentas-estructurales/
